customer_id,resident_id,email,gender,senior_citizen,partner,tenure,monthly_charges,total_charges,contract,payment_method,churn
10095,750602-3782745,user_94@example.com,Male,0,Yes,29,23.03,632.5,One year,Bank transfer,0
10096,930818-4500636,user_95@example.com,Male,1,Yes,13,62.4,921.69,One year,Bank transfer,0
10097,820415-2848026,user_96@example.com,Female,0,Yes,14,103.11,1459.89,Month-to-month,Mailed check,1
10098,781214-4694819,user_97@example.com,Male,0,Yes,11,44.81,,Two year,Mailed check,0
10099,840405-2581899,user_98@example.com,Male,0,No,0,60.78,,Month-to-month,Electronic check,0
10100,810804-3472282,user_99@example.com,Female,0,Yes,2,22.5,148.89,Month-to-month,Bank transfer,0
10101,700220-1347838,user_100@example.com,Male,0,Yes,0,63.52,,One year,Credit card,0
10102,830106-2597769,user_101@example.com,Female,0,Yes,20,76.41,1503.02,Month-to-month,Credit card,0
10103,881025-2745913,user_102@example.com,Male,0,No,7,75.73,521.49,Month-to-month,Mailed check,1
10104,720118-3765198,user_103@example.com,Male,0,No,14,51.83,761.36,Month-to-month,Mailed check,0
10105,890418-2700853,user_104@example.com,Female,0,Yes,47,50.13,2420.0,One year,Bank transfer,0
10106,910317-2909091,user_105@example.com,Female,0,Yes,5,29.19,174.47,Two year,Bank transfer,0
10107,940507-3833246,user_106@example.com,Female,1,No,10,55.27,557.79,One year,Credit card,1
10108,880801-4265127,user_107@example.com,Female,1,Yes,28,28.47,872.06,Month-to-month,Bank transfer,1
10109,880109-4446038,user_108@example.com,Male,0,No,5,95.35,,Month-to-month,Electronic check,1
10110,850919-4318617,user_109@example.com,Male,0,Yes,1,115.37,166.92,Month-to-month,Mailed check,0
10111,960305-3185825,user_110@example.com,Male,1,Yes,6,115.75,680.1,Month-to-month,Credit card,0
10112,731218-3714580,user_111@example.com,Female,0,No,3,105.22,337.21,Month-to-month,Credit card,0
10113,940326-2525827,user_112@example.com,Female,0,No,53,78.73,4167.01,Month-to-month,Electronic check,0
10114,731126-2157036,user_113@example.com,Female,0,No,33,88.76,2926.29,Month-to-month,Bank transfer,1
10115,901107-3557773,user_114@example.com,Male,0,Yes,20,47.09,,Month-to-month,Bank transfer,1
10116,730812-1159000,user_115@example.com,Male,0,Yes,41,81.73,3418.17,One year,Mailed check,1
10117,780902-3231380,user_116@example.com,Female,0,Yes,32,64.18,2017.11,Two year,Electronic check,0
10118,810104-3591389,user_117@example.com,Male,1,Yes,4,66.82,230.27,Two year,Credit card,0
10119,830509-4611165,user_118@example.com,Female,0,Yes,44,94.47,4262.73,One year,Electronic check,0
10120,821203-2920557,user_119@example.com,Female,0,Yes,15,46.76,750.29,Month-to-month,Credit card,1
10121,881106-4937971,user_120@example.com,Female,0,Yes,32,50.38,1492.9,One year,Electronic check,1
10122,701210-1422699,user_121@example.com,Male,0,No,45,111.2,4975.74,Month-to-month,Bank transfer,1
10123,800417-3144852,user_122@example.com,Male,0,Yes,7,24.14,,One year,Credit card,0
10124,980310-1754381,user_123@example.com,Male,0,No,2,67.18,86.83,One year,Mailed check,0
10125,880504-1240525,user_124@example.com,Female,0,Yes,5,110.01,393.12,One year,Electronic check,1
10126,751226-2882064,user_125@example.com,Male,0,No,11,79.69,869.74,Two year,Bank transfer,1
10127,700125-1435245,user_126@example.com,Male,0,No,34,73.28,,One year,Credit card,0
10128,891021-1236802,user_127@example.com,Female,0,Yes,39,43.54,1701.06,One year,Bank transfer,0
10129,721218-4417558,user_128@example.com,Male,0,Yes,0,52.91,,Month-to-month,Electronic check,1
10130,870407-1862095,user_129@example.com,Male,0,Yes,14,103.92,1459.03,Two year,Mailed check,0
10131,860806-2981817,user_130@example.com,Female,1,Yes,10,74.56,724.85,Month-to-month,Mailed check,1
10132,790119-4624835,user_131@example.com,Male,0,Yes,5,70.1,425.6,Two year,Electronic check,0
10133,820527-2502162,user_132@example.com,Male,0,No,2,28.48,127.53,Month-to-month,Credit card,1
10134,850512-3831834,user_133@example.com,Female,0,Yes,8,20.11,200.15,Month-to-month,Bank transfer,1
10135,780504-2770895,user_134@example.com,Male,0,Yes,57,115.11,6544.94,Two year,Bank transfer,0
10136,800924-1441258,user_135@example.com,Male,0,No,7,56.29,493.3,Month-to-month,Credit card,1
10137,780128-2843626,user_136@example.com,Female,0,Yes,14,78.97,1027.93,Two year,Electronic check,0
10138,900626-4766866,user_137@example.com,Male,0,No,24,26.49,565.58,Month-to-month,Bank transfer,0
10139,830310-1573590,user_138@example.com,Male,0,No,9,86.98,778.63,Two year,Bank transfer,0
10140,730621-2331948,user_139@example.com,Male,1,Yes,71,111.99,8063.99,One year,Electronic check,0
10141,801201-2210856,user_140@example.com,Male,1,No,65,76.21,4943.53,One year,Bank transfer,0
10142,810717-1313513,user_141@example.com,Male,0,Yes,5,31.14,146.54,Month-to-month,Credit card,1
10143,751107-3102925,user_142@example.com,Male,0,No,13,76.82,926.56,Month-to-month,Credit card,0
10144,941111-2864704,user_143@example.com,Female,0,No,7,95.33,714.61,Two year,Electronic check,0
10145,951012-1601334,user_144@example.com,Female,0,No,6,59.24,403.1,Month-to-month,Electronic check,1
10146,951101-4526505,user_145@example.com,Male,0,Yes,0,106.7,,Month-to-month,Credit card,1
10147,980327-3635679,user_146@example.com,Male,0,Yes,18,83.53,1472.08,One year,Electronic check,0
10148,900911-3239322,user_147@example.com,Male,0,Yes,13,108.65,1377.11,Month-to-month,Credit card,1
10149,850610-2870290,user_148@example.com,Female,0,No,1,81.01,16.35,Month-to-month,Credit card,0
10150,730611-1432110,user_149@example.com,Male,0,No,6,31.66,194.15,Month-to-month,Credit card,0
10151,910424-1785799,user_150@example.com,Female,0,No,47,49.55,2274.83,Month-to-month,Bank transfer,1
10152,930214-2737377,user_151@example.com,Male,0,Yes,5,38.73,134.78,Two year,Electronic check,1
10153,850615-1902373,user_152@example.com,Female,0,No,3,109.61,307.65,Month-to-month,Bank transfer,0
10154,781210-3139876,user_153@example.com,Male,0,Yes,13,94.73,1207.03,Two year,Electronic check,0
10155,950708-3523723,user_154@example.com,Female,0,No,72,86.31,6187.42,Month-to-month,Mailed check,1
10156,701011-3970358,user_155@example.com,Male,0,No,5,48.67,266.67,Month-to-month,Bank transfer,0
10157,890513-2610196,user_156@example.com,Female,0,No,22,36.95,816.85,One year,Bank transfer,0
10158,940119-4515848,user_157@example.com,Male,0,No,28,94.33,2626.83,Month-to-month,Bank transfer,1
10159,870725-4721593,user_158@example.com,Male,0,No,5,66.03,339.3,One year,Mailed check,0
10160,730528-4534443,user_159@example.com,Male,0,Yes,26,41.14,1020.06,Two year,Electronic check,0
10161,950412-3505095,user_160@example.com,Male,0,No,9,80.32,728.14,Month-to-month,Mailed check,1
10162,930316-2883973,user_161@example.com,Female,0,No,20,22.54,458.33,One year,Electronic check,0
10163,970112-1509798,user_162@example.com,Male,1,No,20,51.2,948.85,Month-to-month,Electronic check,0
10164,770721-1917078,user_163@example.com,Female,0,No,15,65.47,1031.83,Month-to-month,Electronic check,1
10165,760218-4279046,user_164@example.com,Female,1,No,1,33.33,0.0,Month-to-month,Electronic check,1
10166,900217-1381095,user_165@example.com,Female,0,Yes,36,117.21,4224.08,Two year,Electronic check,0
10167,710219-4826248,user_166@example.com,Male,0,Yes,7,39.46,334.44,Month-to-month,Mailed check,0
10168,810619-2468318,user_167@example.com,Male,0,Yes,4,31.57,172.56,Two year,Bank transfer,0
10169,770608-2160059,user_168@example.com,Female,0,No,0,38.9,,Month-to-month,Mailed check,0
10170,870811-1401977,user_169@example.com,Male,0,Yes,17,95.6,1607.08,Month-to-month,Bank transfer,1
10171,831204-3146827,user_170@example.com,Female,0,No,22,61.16,1392.9,Month-to-month,Bank transfer,1
10172,941007-3468629,user_171@example.com,Female,0,No,0,75.18,,Two year,Credit card,0
10173,940314-1952710,user_172@example.com,Female,0,No,14,20.61,,One year,Bank transfer,0
10174,940610-2157420,user_173@example.com,Female,0,Yes,5,21.95,70.01,Month-to-month,Mailed check,0
10175,770926-3866727,user_174@example.com,Female,0,No,20,63.19,1160.18,Two year,Credit card,0
10176,940103-3287165,user_175@example.com,Male,0,Yes,3,100.37,308.81,Month-to-month,Electronic check,0
10177,780315-4268365,user_176@example.com,Female,1,Yes,23,107.25,2462.62,Two year,Electronic check,1
10178,950103-2195896,user_177@example.com,Male,0,No,9,27.19,301.52,Two year,Bank transfer,0
10179,701118-1177704,user_178@example.com,Female,1,No,55,72.47,4003.8,One year,Electronic check,0
10180,760113-1975049,user_179@example.com,Male,0,No,2,110.05,,Two year,Electronic check,0
10181,970605-2983533,user_180@example.com,Female,0,No,8,57.39,424.25,Month-to-month,Credit card,0
10182,800504-3538957,user_181@example.com,Male,1,Yes,2,101.66,,One year,Mailed check,1
10183,820823-1315723,user_182@example.com,Male,0,Yes,51,31.9,1600.45,One year,Electronic check,0
10184,941223-2198718,user_183@example.com,Male,0,No,41,112.27,4641.95,Month-to-month,Electronic check,1
10185,760704-4808991,user_184@example.com,Female,0,Yes,5,93.83,396.21,One year,Mailed check,0
10186,970804-3683411,user_185@example.com,Female,0,No,21,112.87,2382.03,Month-to-month,Credit card,0
10187,820814-2115234,user_186@example.com,Female,0,Yes,33,86.33,2749.66,Month-to-month,Credit card,0
10188,711006-3824879,user_187@example.com,Male,1,Yes,16,54.93,865.52,Month-to-month,Electronic check,1
10189,751124-4633461,user_188@example.com,Male,0,Yes,15,112.55,1710.27,Month-to-month,Bank transfer,0
10190,840603-4967534,user_189@example.com,Male,0,Yes,5,46.13,204.6,Month-to-month,Mailed check,1
10191,920617-2764257,user_190@example.com,Female,0,Yes,1,51.8,0.0,Two year,Credit card,0
10192,860305-4680433,user_191@example.com,Female,0,No,45,88.76,4036.51,Month-to-month,Electronic check,0
10193,770924-3104857,user_192@example.com,Female,0,Yes,46,95.22,,One year,Credit card,0
10194,870611-4256495,user_193@example.com,Female,0,No,20,111.67,2208.92,Month-to-month,Electronic check,1
10195,730509-1854648,user_194@example.com,Female,0,Yes,8,39.03,314.33,Month-to-month,Mailed check,1
10196,890811-1156584,user_195@example.com,Female,0,Yes,8,98.5,919.83,Month-to-month,Bank transfer,1
10197,870403-3930365,user_196@example.com,Female,0,No,25,92.54,2371.18,Month-to-month,Mailed check,1
10198,870309-4739473,user_197@example.com,Female,1,No,45,24.9,1178.63,One year,Credit card,0
10199,910328-1415669,user_198@example.com,Female,1,Yes,43,57.32,2486.54,One year,Credit card,0
10200,840526-4220331,user_199@example.com,Male,0,No,30,46.85,1413.82,Month-to-month,Credit card,0
10201,761126-3883827,user_200@example.com,Male,0,No,20,49.03,860.8,Month-to-month,Bank transfer,0
10202,720402-4855283,user_201@example.com,Female,0,Yes,1,117.04,83.09,Two year,Mailed check,0
10203,810517-2109319,user_202@example.com,Female,1,No,3,82.94,224.79,Month-to-month,Electronic check,0
10204,930805-4735752,user_203@example.com,Male,0,Yes,45,90.45,3976.51,Month-to-month,Mailed check,0
10205,890423-1409705,user_204@example.com,Female,1,Yes,18,116.41,2037.51,One year,Mailed check,0
10206,700804-4128879,user_205@example.com,Male,0,No,0,56.31,,Month-to-month,Bank transfer,1
10207,871212-4541902,user_206@example.com,Male,1,No,2,98.88,195.84,Two year,Mailed check,0
10208,870526-2528013,user_207@example.com,Male,0,Yes,21,62.06,1344.2,One year,Credit card,0
10209,931107-3892622,user_208@example.com,Male,0,No,0,105.67,,Month-to-month,Bank transfer,1
10210,901107-1537974,user_209@example.com,Female,0,Yes,3,36.61,130.57,Month-to-month,Credit card,1
10211,890426-4561562,user_210@example.com,Female,1,Yes,15,113.51,,One year,Credit card,0
10212,930126-1620795,user_211@example.com,Female,0,No,23,40.43,833.29,Month-to-month,Mailed check,0
10213,950226-4750436,user_212@example.com,Female,0,Yes,21,51.2,987.36,Two year,Electronic check,0
10214,930202-2903351,user_213@example.com,Female,1,Yes,5,94.31,408.1,One year,Mailed check,0
10215,970321-2959125,user_214@example.com,Female,0,Yes,24,57.97,1346.84,Month-to-month,Electronic check,0
10216,790602-3800211,user_215@example.com,Female,0,Yes,5,79.47,389.36,One year,Bank transfer,0
10217,800214-2266835,user_216@example.com,Male,0,Yes,7,63.07,390.78,Month-to-month,Bank transfer,1
10218,821107-1322393,user_217@example.com,Male,0,Yes,27,92.92,2525.79,Month-to-month,Bank transfer,1
10219,891026-3742524,user_218@example.com,Male,0,No,20,41.39,816.19,One year,Credit card,0
10220,980602-4305287,user_219@example.com,Female,1,No,37,24.36,901.85,One year,Credit card,0
10221,870902-4829671,user_220@example.com,Male,0,No,21,48.57,,One year,Bank transfer,0
10222,850823-4207006,user_221@example.com,Female,0,Yes,16,66.05,997.79,Month-to-month,Mailed check,0
10223,821006-1130657,user_222@example.com,Female,0,Yes,1,35.34,56.28,One year,Credit card,0
10224,761104-1452211,user_223@example.com,Female,0,No,9,54.07,485.93,Month-to-month,Credit card,0
10225,720702-4933737,user_224@example.com,Male,0,Yes,6,58.6,334.93,One year,Mailed check,0
10226,971218-2310859,user_225@example.com,Male,0,Yes,5,24.25,165.51,One year,Credit card,0
10227,890824-4984327,user_226@example.com,Female,0,No,72,76.98,5586.51,One year,Mailed check,0
10228,920628-3507980,user_227@example.com,Male,0,Yes,9,107.16,,Two year,Electronic check,1
10229,840508-2700964,user_228@example.com,Male,0,No,44,33.71,1474.13,Two year,Mailed check,0
10230,920910-1348858,user_229@example.com,Male,0,Yes,19,78.43,1504.23,Two year,Electronic check,0
10231,940301-3969234,user_230@example.com,Male,0,No,31,85.14,2625.69,Two year,Credit card,0
10232,771102-3629523,user_231@example.com,Female,0,No,13,60.54,816.27,One year,Electronic check,0
10233,970211-4754235,user_232@example.com,Female,1,Yes,17,88.79,1523.49,Two year,Mailed check,0
10234,861005-3594344,user_233@example.com,Male,0,Yes,13,59.68,867.47,Two year,Electronic check,0
10235,890625-2626358,user_234@example.com,Female,0,No,4,69.09,199.85,One year,Bank transfer,0
10236,880125-1597611,user_235@example.com,Female,0,Yes,25,19.24,474.88,Month-to-month,Mailed check,0
10237,960409-3248899,user_236@example.com,Female,0,No,6,87.84,481.61,Month-to-month,Mailed check,0
10238,970216-1627991,user_237@example.com,Female,0,No,0,84.8,,Two year,Electronic check,0
10239,791022-4181547,user_238@example.com,Female,0,Yes,20,22.35,366.14,Month-to-month,Credit card,0
10240,971105-4969514,user_239@example.com,Female,0,No,3,55.42,183.58,Two year,Credit card,0
10241,850613-4730522,user_240@example.com,Male,0,No,56,116.65,6500.9,Month-to-month,Mailed check,0
10242,720201-1757520,user_241@example.com,Female,1,Yes,61,60.68,3664.77,Month-to-month,Mailed check,1
10243,960406-1453446,user_242@example.com,Female,1,Yes,49,68.82,3299.86,One year,Electronic check,0
10244,920625-3771065,user_243@example.com,Male,0,No,9,109.72,964.23,Two year,Mailed check,0
10245,920316-2842955,user_244@example.com,Male,0,No,0,90.41,,Month-to-month,Mailed check,1
10246,760619-2473807,user_245@example.com,Male,0,Yes,52,76.85,,Two year,Credit card,0
10247,871001-4692258,user_246@example.com,Female,0,No,11,98.48,1114.66,One year,Mailed check,0
10248,850803-2227019,user_247@example.com,Male,0,Yes,68,105.15,7233.43,Month-to-month,Electronic check,1
10249,770324-2828339,user_248@example.com,Female,0,No,66,64.3,4256.99,Month-to-month,Mailed check,0
10250,940118-3973201,user_249@example.com,Female,0,No,38,66.13,2485.0,Month-to-month,Mailed check,1
10251,781005-3220156,user_250@example.com,Female,0,Yes,6,57.2,,Month-to-month,Mailed check,1
10252,731010-3160835,user_251@example.com,Male,0,No,9,115.41,1011.48,Month-to-month,Bank transfer,0
10253,920325-4361076,user_252@example.com,Female,0,No,38,88.39,3333.6,Month-to-month,Mailed check,0
10254,800901-2794411,user_253@example.com,Male,0,Yes,7,26.84,111.89,Month-to-month,Electronic check,1
10255,930215-2519255,user_254@example.com,Female,0,No,3,105.01,361.34,Two year,Credit card,0
10256,890213-2735420,user_255@example.com,Female,0,No,16,66.68,1047.58,One year,Credit card,0
10257,910311-2659453,user_256@example.com,Male,0,Yes,55,25.39,1405.55,One year,Bank transfer,0
10258,950309-4937668,user_257@example.com,Female,0,No,23,73.61,1641.23,Month-to-month,Electronic check,0
10259,830712-1213290,user_258@example.com,Female,0,Yes,16,60.32,986.92,Two year,Credit card,0
10260,960809-3297473,user_259@example.com,Female,0,No,2,106.49,174.88,Two year,Credit card,0
10261,890805-1917478,user_260@example.com,Female,0,No,19,38.95,732.96,Month-to-month,Mailed check,1
10262,810412-1741795,user_261@example.com,Male,1,No,72,101.35,7341.09,Two year,Mailed check,0
10263,770322-1597014,user_262@example.com,Female,1,Yes,3,74.41,262.77,Two year,Mailed check,0
10264,800713-2788820,user_263@example.com,Male,0,No,14,23.97,334.48,One year,Bank transfer,0
10265,891013-1395979,user_264@example.com,Female,0,No,41,115.93,4664.72,One year,Mailed check,0
10266,820203-1983792,user_265@example.com,Female,0,No,27,69.89,,Month-to-month,Electronic check,0
10267,950519-4363759,user_266@example.com,Male,0,No,23,47.66,1183.47,Month-to-month,Bank transfer,0
10268,890422-2582670,user_267@example.com,Male,0,No,24,65.56,1609.57,Month-to-month,Credit card,0
10269,960819-1280811,user_268@example.com,Female,0,No,8,104.5,798.34,Month-to-month,Credit card,0
10270,790614-4173205,user_269@example.com,Male,1,Yes,6,49.07,,Month-to-month,Electronic check,1
10271,810813-1947248,user_270@example.com,Male,1,Yes,33,37.82,1220.89,Two year,Electronic check,0
10272,700610-2485828,user_271@example.com,Female,0,No,33,31.44,1100.71,Month-to-month,Credit card,0
10273,801006-3752455,user_272@example.com,Female,0,Yes,40,48.36,1947.53,Two year,Electronic check,0
10274,920706-2509392,user_273@example.com,Male,0,Yes,48,96.7,4602.39,One year,Electronic check,0
10275,810705-4773782,user_274@example.com,Male,0,No,14,65.78,897.38,Month-to-month,Electronic check,0
10276,750803-4840636,user_275@example.com,Male,0,No,13,41.31,593.09,Month-to-month,Mailed check,0
10277,760119-2778547,user_276@example.com,Male,1,No,32,35.16,1205.12,Month-to-month,Credit card,0
10278,830928-2536006,user_277@example.com,Female,0,Yes,20,51.86,1113.62,Two year,Electronic check,0
10279,740321-4517563,user_278@example.com,Female,1,No,24,112.73,2743.37,Two year,Electronic check,0
10280,760912-1718094,user_279@example.com,Female,0,Yes,31,52.89,1626.96,Month-to-month,Mailed check,0
10281,841224-1150767,user_280@example.com,Female,0,No,44,117.56,5010.56,Two year,Credit card,0
10282,920426-3587524,user_281@example.com,Female,0,No,8,67.14,551.98,One year,Bank transfer,0
